Time,break,Start/Stop,TimeStamp,break,Left,break,Right,Duration
12:31:11,*****,Started Session,*****
12:31:49,*****,Sensor Broken,*****
,,,12:31:49,,  46.04,,  59.54,0.048
,,,12:31:50,,  40.47,,  59.43,1.102
12:31:51,*****,Sensor Made,*****
12:31:53,*****,Sensor Broken,*****
,,,12:31:53,,  37.51,,  63.96,0.032
,,,12:31:54,,  32.87,,  69.31,1.085
12:31:55,*****,Sensor Made,*****
12:31:55,*****,Sensor Broken,*****
12:31:55,*****,Sensor Made,*****
12:31:55,*****,Sensor Broken,*****
,,,12:31:55,,  28.18,,  70.21,0.032
12:31:55,*****,Sensor Made,*****
12:33:55,*****,Sensor Broken,*****
,,,12:33:55,,  43.09,,  58.73,0.049
12:33:55,*****,Sensor Made,*****
12:33:56,*****,Sensor Broken,*****
,,,12:33:56,,  43.09,,  58.73,0.016
,,,12:33:56,,  43.09,,  58.73,0.032
12:33:56,*****,Sensor Made,*****
12:33:57,*****,Sensor Broken,*****
,,,12:33:57,,  46.45,,  50.70,0.049
12:33:57,*****,Sensor Made,*****
12:33:57,*****,Sensor Broken,*****
,,,12:33:57,,  48.41,,  49.66,0.048
,,,12:33:58,,  31.88,,  66.44,1.085
,,,12:33:59,,  21.49,,  73.08,2.105
,,,12:34:00,,  29.11,,  66.56,3.126
12:34:01,*****,Sensor Made,*****
12:34:01,*****,Sensor Broken,*****
,,,12:34:01,,  28.34,,  62.35,0.031
,,,12:34:02,,  33.50,,  65.31,1.085
,,,12:34:03,,  39.09,,  59.40,2.089
,,,12:34:04,,  42.66,,  54.58,3.094
,,,12:34:05,,  47.25,,  50.42,4.083
,,,12:34:06,,  51.74,,  45.94,5.088
12:34:07,*****,Sensor Made,*****
12:34:11,*****,Sensor Broken,*****
,,,12:34:11,,  42.22,,  62.52,0.048
,,,12:34:12,,  42.59,,  54.12,1.117
12:34:13,*****,Sensor Made,*****
12:34:13,*****,Sensor Broken,*****
,,,12:34:13,,  42.59,,  54.12,0.016
,,,12:34:13,,  42.59,,  54.12,0.032
12:34:13,*****,Sensor Made,*****
12:34:13,*****,Sensor Broken,*****
,,,12:34:13,,  42.59,,  54.12,0.033
,,,12:34:14,,  41.75,,  56.26,1.086
12:34:15,*****,Sensor Made,*****
12:34:17,*****,Sensor Broken,*****
,,,12:34:17,,  57.70,,  49.75,0.049
,,,12:34:19,,  43.48,,  58.78,1.101
,,,12:34:20,,  28.06,,  68.51,2.113
,,,12:34:21,,  32.08,,  64.55,3.11
12:34:21,*****,Sensor Made,*****
12:34:24,*****,Sensor Broken,*****
,,,12:34:24,,  46.32,,  58.63,0.048
12:34:24,*****,Sensor Made,*****
12:34:24,*****,Sensor Broken,*****
,,,12:34:25,,  43.96,,  60.03,0.032
,,,12:34:26,,  57.66,,  41.43,1.085
,,,12:34:27,,  52.71,,  42.39,2.09
,,,12:34:28,,  50.03,,  43.66,3.119
,,,12:34:29,,  48.82,,  42.54,4.084
,,,12:34:30,,  48.27,,  42.30,5.105
,,,12:34:31,,  48.25,,  42.40,6.11
,,,12:34:32,,  48.09,,  42.16,7.09
